name@version*;license*;copyrights*;end-of-support;dependencies;language;repository;email;URL
aaeporch-cxfclient-2.0.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
aopalliance-1.0.jar;Public Domain;;;;Java;;;
aspectjweaver-1.7.2.jar;EPL-1.0;;;;Java;;;
commons-beanutils-1.8.3.jar;Apache-2.0;;;;Java;;;
commons-collections-3.2.jar;Apache-2.0;;;;Java;;;
commons-fileupload-1.2.jar;Apache-2.0;;;;Java;;;
commons-httpclient-2.0.2.jar;Apache-2.0;;;;Java;;;
commons-lang-2.5.jar;Apache-2.0;;;;Java;;;
commons-validator-1.4.0.jar;Apache-2.0;;;;Java;;;
csi-stadapter-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
displaytag-1.2.jar;Artistic-2.0;;;;Java;;;
freemarker-2.3.26.jar;Apache-2.0;;;;Java;;;
gson-2.2.4.jar;Apache-2.0;;;;Java;;;
iridev2-pep-intf-2.0.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
jakarta-oro-2.0.8.jar;Apache-2.0;;;;Java;;;
jsonplugin-0.32.jar;Apache-2.0;;;;Java;;;
junit-4.7.jar;CPL-1.0;;;;Java;;;
log4j-1.2.14.jar;Apache-2.0;;;;Java;;;
ognl-2.6.10.jar;"The OpenSymphony Software License 1.1; BSD";;;;Java;;;
remincl-1.0.2.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
servlet-2.4.jar;"CDDL; GPL-2.0";;;;Java;;;
servlet-jsp-2.0.jar;"CDDL; GPL-2.0";;;;Java;;;
spring-aop-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-beans-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-context-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-core-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-expression-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-jdbc-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-tx-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-web-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
struts2-core-2.0.11.2.csi-1.0.0.jar;Libreria personalizzata CSI basata su Apache-2.0;;;;Java;;;
struts2-spring-plugin-2.0.11.2.jar;Apache-2.0;;;;Java;;;
util-beanlocatorfactory-1.0.1.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
util-perf-1.0.1.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
util-struts2-csitemplate-1.2.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
xstream-1.3.1.jar;BSD;;;;Java;;;
xwork-2.0.7.jar;The OpenSymphony Software License 1.1;;;;Java;;;
